"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (EUR)",Término,Impressões,"CPM (custo por 1.000 impressões) (EUR)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (EUR)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (EUR)","Visualizações da página de destino","Custo por visualização da página de destino (EUR)"
2026-01-01,2026-03-31,"[TRAFEGO] Alinhadores",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,10,Diário,0,Contínuo,0,0,,,,,0,0,0,,
2026-01-01,2026-03-31,"[LEAD GENS] Alinhadores",inactive,"Clique de 7 dias ou visualização de 1 dia",32,actions:leadgen.other,23357,1.343366,3.5603125,10,Diário,113.93,Contínuo,31377,3.631004,124,,0.91879,0.395194,380,1.211078,0.299816,,
2026-01-01,2026-03-31,"[LEAD GENS] Implantes",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,
2026-01-01,2026-03-31,"[LEAD GENS] Implantes — INTERNACIONAL",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,20,Diário,0,Contínuo,0,0,,,,,0,0,0,,
2026-01-01,2026-03-31,"[LEAD GENS] [ABO] Implantes",inactive,"Clique de 7 dias ou visualização de 1 dia",85,actions:leadgen.other,128675,1.56917,14.01152941,"Usando o orçamento do conjunto de anúncios",0,1190.98,Contínuo,201913,5.898481,1752,,0.679783,0.8677,3213,1.591279,0.370675,,
2026-01-01,2026-03-31,"[LEAD GENS] Facetas 36x",inactive,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,"Usando o orçamento do conjunto de anúncios",0,0,Contínuo,0,0,,,,,0,0,0,,
2026-01-01,2026-03-31,"[LEAD GENS] Facetas",inactive,"Clique de 7 dias ou visualização de 1 dia",30,actions:leadgen.other,27643,2.134464,11.87133333,"Usando o orçamento do conjunto de anúncios",0,356.14,Contínuo,59003,6.035964,505,,0.705228,0.855889,743,1.259258,0.479327,,
2026-01-01,2026-03-31,"[wb] alinhadores | [d] - I",inactive,"Clique de 7 dias ou visualização de 1 dia",321,actions:leadgen.other,142192,3.512019,9.5170405,"Usando o orçamento do conjunto de anúncios",0,3054.97,Contínuo,499381,6.117513,2372,,1.28793,0.474988,5137,1.028674,0.594699,,
2026-01-01,2026-03-31,"[LEAD GENS] [ABO] Implantes - Nicaela",inactive,"Clique de 7 dias ou visualização de 1 dia",674,actions:leadgen.other,290718,2.843997,6.87221068,"Usando o orçamento do conjunto de anúncios",0,4631.87,Contínuo,826801,5.602158,7536,,0.614632,0.911465,12823,1.550917,0.361216,,
2026-01-01,2026-03-31,"[LEAD GENS] [ABO] Alinhadores — Nicaela — Promo Final de Ano",inactive,"Clique de 7 dias ou visualização de 1 dia",24,actions:leadgen.other,37310,1.427178,15.00541667,"Usando o orçamento do conjunto de anúncios",0,360.13,Contínuo,53248,6.763259,451,,0.798514,0.84698,727,1.36531,0.495365,,
2026-01-01,2026-03-31,"[wb] implantes | [d] I",inactive,"Clique de 7 dias ou visualização de 1 dia",571,actions:leadgen.other,124421,3.757967,4.25236427,"Usando o orçamento do conjunto de anúncios",0,2428.1,2026-02-13,467570,5.193019,5269,,0.460827,1.12689,9050,1.935539,0.268298,,
2026-01-01,2026-03-31,"[wb] implantes | Instituto [d] I",inactive,"Clique de 7 dias ou visualização de 1 dia",285,actions:leadgen.other,114014,4.826162,25.92726316,"Usando o orçamento do conjunto de anúncios",0,7389.27,2026-02-21,550250,13.428932,5860,,1.260968,1.06497,10237,1.860427,0.72182,,
2026-01-01,2026-03-31,"[wb] alinhadores | instituto [d] - I",inactive,"Clique de 7 dias ou visualização de 1 dia",23,actions:leadgen.other,18754,2.833582,12.5626087,15,Diário,288.94,Contínuo,53141,5.437233,234,,1.234786,0.440338,528,0.993583,0.547235,,
2026-01-01,2026-03-31,"[wb] alinhadores | instituto [r]",inactive,"Clique de 7 dias ou visualização de 1 dia",8,actions:leadgen.other,15986,2.234017,44.68375,"Usando o orçamento do conjunto de anúncios",0,357.47,Contínuo,35713,10.00952,157,,2.276879,0.439616,365,1.022037,0.97937,,
2026-01-01,2026-03-31,"[wb] implantes | instituto [r] [tp]",active,"Clique de 7 dias ou visualização de 1 dia",630,actions:leadgen.other,184165,4.489018,10.49665079,"Usando o orçamento do conjunto de anúncios",0,6612.89,Contínuo,826720,7.998948,5612,,1.178348,0.678827,10320,1.248307,0.640784,1,6612.89
2026-01-01,2026-03-31,"[wb] implantes | escada [I] [tp]",inactive,"Clique de 7 dias ou visualização de 1 dia",2,actions:leadgen.other,34590,1.0854,153.425,"Usando o orçamento do conjunto de anúncios",0,306.85,Contínuo,37544,8.173077,262,,1.171183,0.697848,470,1.251864,0.652872,,
2026-01-01,2026-03-31,"[wb] implantes | instituto [r] [tp] - sem verificaçã o + Simples",active,"Clique de 7 dias ou visualização de 1 dia",994,actions:leadgen.other,143830,5.019808,4.40929577,105,Diário,4382.84,Contínuo,721999,6.070424,5729,,0.765027,0.793491,8997,1.246124,0.487145,,
2026-01-01,2026-03-31,"[wb] alinhadores",inactive,"Clique de 7 dias ou visualização de 1 dia",256,actions:leadgen.other,101961,2.456881,6.57230469,"Usando o orçamento do conjunto de anúncios",0,1682.51,Contínuo,250506,6.716446,3493,,0.481681,1.394378,4947,1.974803,0.340107,,
2026-01-01,2026-03-31,"[d] alinhadores | instituto - trafego no perfil",inactive,"Clique de 1 dia",3,page_visit_view,1617,1.348176,3.47666667,"Usando o orçamento do conjunto de anúncios",0,10.43,Contínuo,2180,4.784404,4,,2.6075,0.183486,24,1.100917,0.434583,,
2026-01-01,2026-03-31,"[wb] form | capilar",active,"Clique de 7 dias ou visualização de 1 dia",101,actions:leadgen.other,50289,2.676271,8.33168317,"Usando o orçamento do conjunto de anúncios",0,841.5,Contínuo,134587,6.252461,766,,1.098564,0.569149,1703,1.265353,0.494128,,
2026-01-01,2026-03-31,"[wb] form | estética | protocolo",inactive,"Clique de 7 dias ou visualização de 1 dia",263,actions:leadgen.other,70285,3.094416,7.99068441,"Usando o orçamento do conjunto de anúncios",0,2101.55,Contínuo,217491,9.662699,4468,,0.470356,2.054338,6238,2.868165,0.336895,,
